GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
course_pro_backend,com.elec5619.course_pro_backend.dto,LoginRequest,17,0,0,0,7,0,5,0,5,0
course_pro_backend,com.elec5619.course_pro_backend.dto,CourseData,38,0,0,0,16,0,11,0,11,0
course_pro_backend,com.elec5619.course_pro_backend.dto,LoginData,53,0,0,0,22,0,11,0,11,0
course_pro_backend,com.elec5619.course_pro_backend.controller,ChatController.ChatRequest,10,0,0,0,4,0,3,0,3,0
course_pro_backend,com.elec5619.course_pro_backend.controller,AIChatController,8,3,0,0,2,1,1,1,1,1
course_pro_backend,com.elec5619.course_pro_backend.controller,LoginRecordController,15,3,0,0,4,1,2,1,2,1
course_pro_backend,com.elec5619.course_pro_backend.controller,ChatController,26,3,0,0,6,1,4,1,4,1
course_pro_backend,com.elec5619.course_pro_backend.controller,UserController,294,3,30,0,68,1,22,1,7,1
course_pro_backend,com.elec5619.course_pro_backend.controller,CourseController,597,3,78,0,142,1,49,1,10,1
course_pro_backend,com.elec5619.course_pro_backend.model,Course,52,0,0,0,22,0,15,0,15,0
course_pro_backend,com.elec5619.course_pro_backend.model,User,35,3,0,0,15,1,10,1,10,1
course_pro_backend,com.elec5619.course_pro_backend.model,LoginRecord,152,3,30,0,3,1,25,1,10,1
course_pro_backend,com.elec5619.course_pro_backend.model,Comment,239,3,46,0,8,1,39,1,16,1
course_pro_backend,com.elec5619.course_pro_backend.model,UserCourse,160,3,30,0,5,1,27,1,12,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,ApiResponse,33,0,0,0,14,0,7,0,7,0
course_pro_backend,com.elec5619.course_pro_backend.service.impl,CommentServiceImpl,14,3,0,0,4,1,2,1,2,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,AIChatServiceImpl,124,3,10,0,32,1,6,1,1,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,CourseServiceImpl,108,3,6,0,26,1,12,1,9,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,ChatServiceImpl,117,7,0,0,27,3,6,1,6,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,UserServiceImpl,135,3,8,0,31,1,17,1,13,1
course_pro_backend,com.elec5619.course_pro_backend.service.impl,LoginRecordServiceImpl,15,3,0,0,4,1,3,1,3,1
course_pro_backend,com.elec5619.course_pro_backend.response,ApiResponse,33,0,0,0,14,0,7,0,7,0
course_pro_backend,com.elec5619.course_pro_backend,CourseProBackendApplication,5,3,0,0,2,1,1,1,1,1
course_pro_backend,com.elec5619.course_pro_backend.utils,SecurityConfig,0,19,0,0,0,5,0,3,0,3
course_pro_backend,com.elec5619.course_pro_backend.utils,JwtUtil,73,19,6,2,23,5,9,2,5,2
